topic	answer	synonyms
주소	저희 대표 회사주소는 서울 서초구 강남대로 27, at센터 10층,14층에 있습니다.	회사 주소,회사주소,주소
회사이름	저희 회사는 '엔지켐생명과학' 입니다.	회사 이름,회사명
대표	저희 회사 회장님 성함은 '손기영' 입니다.	회사 대표,대표이사,회사 회장
휴가신청	휴가신청은 인사시스템에서 신청하시면 됩니다. 연차는 15일, 반차는 0.5일로 계산됩니다.	휴가 신청,연차 신청
현재시간		오늘 날짜,현재 시간,지금 몇시,몇시
    설립일	 저희 회사는 1997년 07월에 설립되었습니다.,	회사설립일
    비전	 저희 회사의 비전은 '세계 1등 바이오·제약 챔피언, 건강장수 130, 엔지켐생명과학 3.0, 아름다운 삶 3.0' 입니다.,	회사비전
    R&D전략개발실	 R&D전략개발실은 신약 개발과 임상시험을 담당하며, 14층에 위치해 있습니다. 팀장은 김정석 이사입니다.,	R&D전략개발실
    국내영업팀	 국내영업팀은 제품 판매와 고객 관리를 담당하며, 14층에 위치해 있습니다. 팀장은 윤두환 차장입니다.,	국내영업팀
    인사팀	 인사팀은 채용, 교육, 복리후생을 담당하며, 10층에 위치해 있습니다. 팀장은 김성국 이사입니다.,	인사팀
    회계·세무팀	 회계·세무팀은 회계, 세무, 자금 관리를 담당하며, 10층에 위치해 있습니다. 팀장은 박성법 차장입니다.,	회계·세무팀
    IT팀	 IT팀은 시스템 개발과 유지보수를 담당하며, 14층에 위치해 있습니다. 팀장은 장우혁 차장입니다.,	IT팀
    자금팀	 자금팀은 결제관련 업무 및 법인카드 관리를 담당하며,10층에 위치해 있습니다. 팀장은 이은옥 차장입니다.,	자금팀
    경영기획팀	 경영기획팀은 결제관련 내부회계 관련 업무를 담당하며,10층에 위치해 있습니다. 팀장은 이경석 차장입니다.,	경영기획팀
    글로벌건강기능식품팀	 글로벌건강기능식품팀은 건강기능식품 판매 및 관리 업무를 담당하며,10층에 위치해 있습니다. 팀장은 홍석민 부장입니다.,	글로벌건강기능식품팀
    휴가신청	 휴가신청은 인사시스템에서 신청하시면 됩니다. 연차는 15일, 반차는 0.5일로 계산됩니다.?? <a href='https//gw.enzychem.com/app/approval/document/new/15/1824' target='_blank'>연차신청 바로가기</a>,	휴가신청,휴가 신청
    출장신청	 출장신청은 그룹웨어 전자결제를 통해 미리 신청서를 제출하고 승인을 받으셔야 합니다.,	출장신청,출장 신청
    구매신청	 구매신청은 전자결제 기안서를 통해서 진행하며, 사무용품인 경우 총무IT팀이 담당하고 있습니다.,	구매신청,구매 신청
    회의실예약	 회의실은 10층과 14층에 회의실이 있습니다.?? <a href='https//gw.enzychem.com/app/asset' target='_blank'>회의실 예약 바로가기</a>,	회의실예약,회의실 예약
    게시판	 게시판은 각종 공지사항 및 연락망을 확인할수 있습니다.?? <a href='https//gw.enzychem.com/app/board' target='_blank'>게시판 바로가기</a>,	게시판
    자료실	 자료실은 각종 전산시스템가이드,화사로고,양식을 확인할수 있습니다.?? <a href='https//gw.enzychem.com/app/webfolder' target='_blank'>자료실 바로가기</a>,	자료실
    헬프데스크	 헬프데스크는 사용자가 각솔루션이나 pc문제 발생시 문의를 넣어 it담당자들이 확인 후 조치를 합니다.?? <a href='https//gw.enzychem.com/app/works/applet/22/home' target='_blank'>헬프데스크 바로가기</a>,	헬프데스크
    원격지원	 원격지원은 it담당자가 사용자 pc에 원격으로 접속하여 문제점을 파악 및 해결합니다.?? <a href='https//367.co.kr/enzychem' target='_blank'>원격지원 바로가기</a>,	원격지원,원격 지원
    점심시간	 점심시간은 11시30분부터 12시30분, 12시30분부터 1시30분까지입니다. 지하1층 AT뷔페, 더온담, 영등포구석집, 싸다김밥에서 식사 가능합니다.,	점심시간,점심 시간
    퇴근시간	 퇴근시간은 오후 6시입니다. 퇴근 시 지문 등록을 꼭 하시길 바랍니다.,	퇴근시간,퇴근 시간
    주차	 주차 지원은 별도로 없으나, 원하실 경우 AT센터 지하 혹은 근처 공영주차장에 주차 가능합니다.,	주차
    연차수당	 연차를 다 소진하지 못할 경우 연차 수당이 지급됩니다.,	연차수당,연차 수당
    IT지원	 IT지원팀 연락처는 02-6213-7184입니다. 시스템 문제 시 언제든 연락주세요.,	IT지원
    보안팀	 보안팀의 공식적인 연락처는 사내 인트라넷을 확인해주시기 바랍니다. 출입증 분실 시 즉시 연락해야 합니다.,	보안팀
    복장규정	 무난한 캐주얼 복장을 선호합니다.,	복장규정
    출근시간	 출근시간은 오전 9시이며, 10분 전까지 도착하여 업무 준비를 권장드립니다.,	출근시간,출근 시간
    보안규정	 회사 내에서는 보안상 개인 PC에 파일 저장이 어렵습니다(TXT, 이미지 제외). 문서중앙화를 통해 작성 바랍니다.,	보안규정
    재직증명서	전자결제 -> 새결제 진행 -> 인사 -> 제증명서교부신청서에서 신청가능합니다. ?? <a href='https//gw.enzychem.com/app/approval/document/new/15/2109' target='_blank'>증명서 신청 바로가기</a>	재직증명서,재직 증명서

